ESNTL_NO,WRD_NM,AFRM_SCORE_VALUE,NEGA_SCORE_VALUE
"10","가가미","0.00003","0.00000"
"11","가가호호","0.00002","0.00004"
"12","가각","0.00003","0.00004"
"13","가감","0.00128","0.00125"
"14","가개","0.00001","0.00004"
"15","가객","0.00002","0.00000"
"16","가갸","0.00002","0.00004"
"17","가거","0.00002","0.00002"
"18","가게","0.01447","0.01203"
"19","가겟","0.00003","0.00000"
"20","가격","0.02035","0.03072"
"21","가결","0.00005","0.00002"
"22","가경","0.00009","0.00009"
"23","가계","0.00430","0.00440"
"24","가고시마","0.00001","0.00013"
"25","가곡","0.00012","0.00009"
"26","가공","0.00256","0.00260"
"27","가과","0.00001","0.00000"
"28","가관","0.00020","0.00045"
"29","가교","0.00022","0.00015"
"30","가구","0.00450","0.00567"
"31","가구라","0.00004","0.00009"
"32","가구야","0.00001","0.00000"
"33","가국","0.00001","0.00002"
"34","가군","0.00003","0.00013"
"35","가그","0.00001","0.00000"
"36","가극","0.00002","0.00000"
"37","가글링","0.00001","0.00002"
"38","가금","0.00009","0.00006"
"39","가급","0.00117","0.00123"
"40","가급적","0.00003","0.00004"
"41","가기","0.00005","0.00011"
"42","가까스로","0.00078","0.00052"
"43","가까워다","0.00003","0.00007"
"44","가까이","0.01551","0.01362"
"45","가깝다","0.03456","0.03695"
"46","가꾸다","0.00607","0.00572"
"47","가꾸로","0.00001","0.00000"
"48","가끔","0.03183","0.03384"
"49","가나","0.00014","0.00020"
"50","가나가와","0.00001","0.00004"
"51","가나다","0.00030","0.00020"
"52","가나메","0.00001","0.00002"
"53","가나안","0.00016","0.00032"
"54","가나에","0.00043","0.00039"
"55","가나자와","0.00007","0.00013"
"56","가나코","0.00066","0.00056"
"57","가난","0.01973","0.01970"
"58","가내","0.00003","0.00004"
"59","가냘프다","0.00019","0.00032"
"60","가네","0.00005","0.00002"
"61","가네다","0.00001","0.00000"
"62","가네무라","0.00001","0.00000"
"63","가네샤","0.00002","0.00004"
"64","가네시로","0.00007","0.00002"
"65","가네코","0.00004","0.00030"
"66","가넷","0.00003","0.00007"
"67","가녀","0.00001","0.00000"
"68","가녀리다","0.00025","0.00035"
"69","가노","0.00021","0.00017"
"70","가누다","0.00029","0.00019"
"71","가느다랗다","0.00044","0.00046"
"72","가는","0.00001","0.00000"
"73","가늘다","0.00077","0.00067"
"74","가늠","0.00355","0.00344"
"75","가능","0.08764","0.09410"
"76","가니메데","0.00003","0.00000"
"77","가님","0.00004","0.00007"
"78","가다","0.15940","0.15482"
"79","가다니","0.00002","0.00002"
"80","가다듬다","0.00104","0.00141"
"81","가다랑어","0.00002","0.00000"
"82","가닥","0.00099","0.00104"
"83","가단","0.00012","0.00015"
"84","가달","0.00003","0.00006"
"85","가담","0.00077","0.00076"
"86","가덕","0.00002","0.00000"
"87","가데","0.00001","0.00000"
"88","가데스","0.00002","0.00000"
"89","가도","0.00052","0.00054"
"90","가도쿠라","0.00006","0.00002"
"91","가독","0.00357","0.00788"
"92","가동","0.00086","0.00065"
"93","가두","0.00003","0.00006"
"94","가두다","0.00354","0.00320"
"95","가드","0.00059","0.00059"
"96","가드너","0.00032","0.00024"
"97","가득","0.05561","0.04472"
"98","가득차다","0.00215","0.00219"
"99","가득히","0.00046","0.00046"
"100","가든","0.00050","0.00063"
"101","가등","0.00002","0.00004"
"102","가디","0.00006","0.00007"
"103","가디건","0.00009","0.00013"
"104","가디스","0.00001","0.00000"
"105","가디언","0.00062","0.00054"
"106","가딩","0.00002","0.00002"
"107","가뜩","0.00001","0.00004"
"108","가뜩이나","0.00055","0.00095"
"109","가라","0.00014","0.00013"
"110","가라다","0.00006","0.00002"
"111","가라사대다","0.00005","0.00000"
"112","가라사와","0.00002","0.00000"
"113","가라스","0.00006","0.00000"
"114","가라앉다","0.00258","0.00243"
"115","가라앉히다","0.00080","0.00069"
"116","가라오케","0.00001","0.00002"
"117","가라지","0.00001","0.00006"
"118","가라타니","0.00001","0.00007"
"119","가라테","0.00003","0.00002"
"120","가락","0.01565","0.01307"
"121","가락지","0.00005","0.00009"
"122","가란","0.00003","0.00028"
"123","가람","0.00061","0.00045"
"124","가랑","0.00075","0.00056"
"125","가랑이","0.00008","0.00009"
"126","가래","0.00044","0.00017"
"127","가랭이","0.00001","0.00004"
"128","가량","0.00168","0.00203"
"129","가렛","0.00005","0.00004"
"130","가려","0.00014","0.00013"
"131","가려내다","0.00073","0.00085"
"132","가려먹다","0.00004","0.00004"
"133","가려보다","0.00005","0.00004"
"134","가려뽑다","0.00004","0.00002"
"135","가려움","0.00025","0.00017"
"136","가려워하다","0.00002","0.00000"
"137","가력","0.00001","0.00000"
"138","가련","0.00004","0.00006"
"139","가련하다","0.00001","0.00004"
"140","가렴","0.00005","0.00002"
"141","가렵다","0.00111","0.00095"
"142","가령","0.00272","0.00424"
"143","가례","0.00004","0.00004"
"144","가로","0.00332","0.00269"
"145","가로놓이다","0.00004","0.00004"
"146","가로다","0.00008","0.00013"
"147","가로막다","0.00135","0.00141"
"148","가로막히다","0.00024","0.00022"
"149","가로수","0.00007","0.00009"
"150","가로쓰","0.00003","0.00002"
"151","가로젓다","0.00006","0.00000"
"152","가로지르다","0.00095","0.00072"
"153","가로채다","0.00051","0.00033"
"154","가로쿠","0.00001","0.00000"
"155","가록","0.00001","0.00004"
"156","가론","0.00001","0.00004"
"157","가뢰","0.00004","0.00000"
"158","가루","0.00704","0.00448"
"159","가루다","0.00001","0.00002"
"160","가룸","0.00001","0.00000"
"161","가륜","0.00002","0.00000"
"162","가르","0.00011","0.00006"
"163","가르강튀아","0.00001","0.00002"
"164","가르니에","0.00001","0.00000"
"165","가르다","0.00355","0.00437"
"166","가르델","0.00001","0.00000"
"167","가르드","0.00002","0.00002"
"168","가르랑","0.00004","0.00000"
"169","가르릉","0.00003","0.00002"
"170","가르마","0.00005","0.00002"
"171","가르보","0.00002","0.00019"
"172","가르시아","0.00017","0.00017"
"173","가르치다","0.03364","0.02979"
"174","가르침","0.00857","0.00827"
"175","가르키다","0.00382","0.00403"
"176","가를","0.00002","0.00000"
"177","가름","0.00066","0.00099"
"178","가릉","0.00001","0.00006"
"179","가리","0.00082","0.00097"
"180","가리다","0.01226","0.01232"
"181","가리발디","0.00001","0.00002"
"182","가리봉","0.00003","0.00002"
"183","가리비","0.00008","0.00013"
"184","가리온","0.00003","0.00000"
"185","가리우다","0.00011","0.00022"
"186","가리치다","0.00002","0.00004"
"187","가리키다","0.00170","0.00191"
"188","가린","0.00001","0.00002"
"189","가림","0.00060","0.00046"
"190","가마","0.00117","0.00065"
"191","가마귀","0.00002","0.00000"
"192","가마니","0.00012","0.00007"
"193","가마우지","0.00005","0.00000"
"194","가마쿠라","0.00019","0.00007"
"195","가마타","0.00001","0.00002"
"196","가만","0.00123","0.00130"
"197","가만가만","0.00021","0.00020"
"198","가만가만히","0.00001","0.00000"
"199","가만두다","0.00018","0.00006"
"200","가만이","0.00006","0.00004"
"201","가만있다","0.00020","0.00017"
"202","가만히","0.00866","0.00983"
"203","가망","0.00039","0.00028"
"204","가맹","0.00018","0.00017"
"205","가메","0.00008","0.00022"
"206","가메오카","0.00005","0.00002"
"207","가메이","0.00001","0.00000"
"208","가면","0.00335","0.00309"
"209","가멸","0.00001","0.00002"
"210","가명","0.00071","0.00039"
"211","가모","0.00010","0.00011"
"212","가모브","0.00001","0.00000"
"213","가모우","0.00008","0.00007"
"214","가몬","0.00001","0.00002"
"215","가묘","0.00002","0.00002"
"216","가무","0.00006","0.00009"
"217","가문","0.00415","0.00381"
"218","가문비","0.00094","0.00039"
"219","가물","0.00010","0.00007"
"220","가물가물","0.00123","0.00100"
"221","가물거리다","0.00015","0.00022"
"222","가물다","0.00056","0.00052"
"223","가물치","0.00003","0.00002"
"224","가뭄","0.00132","0.00104"
"225","가뭇없다","0.00001","0.00002"
"226","가뭇없이","0.00002","0.00002"
"227","가미","0.00290","0.00331"
"228","가미스","0.00002","0.00009"
"229","가미야","0.00005","0.00004"
"230","가미카제","0.00003","0.00004"
"231","가민","0.00004","0.00000"
"232","가바","0.00002","0.00006"
"233","가바나","0.00001","0.00000"
"234","가발","0.00053","0.00026"
"235","가방","0.01206","0.01005"
"236","가배","0.00001","0.00004"
"237","가버","0.00001","0.00002"
"238","가버나움","0.00002","0.00000"
"239","가버리다","0.00003","0.00002"
"240","가법","0.00002","0.00004"
"241","가베","0.00025","0.00000"
"242","가벼이","0.00039","0.00069"
"243","가벽","0.00002","0.00002"
"244","가변","0.00020","0.00017"
"245","가볍다","0.02977","0.05351"
"246","가보","0.00028","0.00000"
"247","가보르","0.00018","0.00017"
"248","가보세","0.00002","0.00000"
"249","가본","0.00023","0.00013"
"250","가봉","0.00004","0.00000"
"251","가부","0.00229","0.00180"
"252","가부키","0.00007","0.00002"
"253","가부키초","0.00003","0.00002"
"254","가분","0.00049","0.00035"
"255","가불","0.00004","0.00004"
"256","가브","0.00001","0.00000"
"257","가브리엘","0.00097","0.00113"
"258","가브리엘라","0.00004","0.00024"
"259","가브리엘레","0.00001","0.00000"
"260","가브리엘로","0.00001","0.00002"
"261","가비","0.00050","0.00072"
"262","가비알","0.00003","0.00002"
"263","가빈","0.00007","0.00000"
"264","가빠지다","0.00008","0.00004"
"265","가뿐히","0.00013","0.00020"
"266","가쁘다","0.00111","0.00097"
"267","가사","0.00501","0.00405"
"268","가사리","0.00001","0.00000"
"269","가사오카","0.00001","0.00000"
"270","가산","0.00043","0.00037"
"271","가살","0.00001","0.00000"
"272","가상","0.00981","0.00963"
"273","가새","0.00001","0.00002"
"274","가색","0.00001","0.00000"
"275","가서","0.00001","0.00002"
"276","가서도","0.00002","0.00000"
"277","가설","0.00267","0.00375"
"278","가섭","0.00001","0.00002"
"279","가성","0.00006","0.00009"
"280","가세","0.00039","0.00046"
"281","가세트","0.00001","0.00000"
"282","가소","0.00034","0.00024"
"283","가소롭다","0.00001","0.00002"
"284","가소성","0.00006","0.00002"
"285","가속","0.00214","0.00171"
"286","가솔","0.00001","0.00000"
"287","가솔린","0.00012","0.00004"
"288","가수","0.00402","0.00483"
"289","가스","0.00554","0.00433"
"290","가스라기","0.00001","0.00000"
"291","가스미","0.00016","0.00002"
"292","가스코뉴","0.00001","0.00000"
"293","가스트","0.00001","0.00002"
"294","가스틴","0.00001","0.00000"
"295","가스파르","0.00014","0.00009"
